Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,AI_User_Segment,GPA_Gap
100065,STEM,Graduate,3.569,8.2,Ideation,Intermediate,1.0,False,17.15,2.0,Actively_Encouraged,4.0,3.922,75.58,Low,Moderate,0.353
100066,Business,Freshman,3.074,0.65,Ideation,Intermediate,3.0,True,14.09,3.0,Actively_Encouraged,5.0,3.416,80.16,Medium,Light,0.342
100067,STEM,Graduate,3.329,6.73,Debugging/Troubleshooting,Intermediate,4.0,True,15.32,3.0,Allowed_With_Citation,2.0,3.702,80.75,Medium,Moderate,0.373
100068,Arts,Graduate,3.606,1.1,Ideation,Beginner,2.0,False,17.55,2.0,Strict_Ban,3.0,3.758,60.58,Medium,Light,0.152
100069,STEM,Sophomore,3.645,16.74,Direct_Answer_Generation,Advanced,3.0,True,6.48,4.0,Allowed_With_Citation,2.0,3.879,78.14,High,Heavy,0.234
100070,Medical,Graduate,2.838,9.62,Copywriting/Drafting,Beginner,1.0,True,7.64,5.0,Allowed_With_Citation,5.0,2.951,65.48,Low,Moderate,0.113
100071,Arts,Graduate,3.047,18.86,Direct_Answer_Generation,Beginner,1.0,True,13.19,6.0,Allowed_With_Citation,7.0,3.295,53.65,High,Heavy,0.248
100072,STEM,Freshman,3.117,13.89,Copywriting/Drafting,Beginner,2.0,False,9.7,8.0,Allowed_With_Citation,6.0,3.326,45.39,Medium,Moderate,0.209
100073,STEM,Graduate,3.251,9.97,Debugging/Troubleshooting,Advanced,3.0,False,6.39,3.0,Actively_Encouraged,5.0,3.687,80.79,Low,Moderate,0.436
100074,Arts,Freshman,2.579,8.72,Ideation,Advanced,3.0,False,14.07,4.0,Allowed_With_Citation,3.0,2.962,63.96,Low,Moderate,0.383
100075,Business,Freshman,2.919,2.08,Direct_Answer_Generation,Beginner,1.0,False,19.29,5.0,Allowed_With_Citation,3.0,3.389,58.03,Low,Light,0.47
100076,Business,Junior,2.023,5.4,Copywriting/Drafting,Beginner,2.0,False,13.8,2.0,Allowed_With_Citation,5.0,2.468,72.32,Medium,Moderate,0.445
100077,Arts,Freshman,2.494,7.29,Copywriting/Drafting,Beginner,3.0,False,6.21,1.0,Allowed_With_Citation,7.0,2.393,78.1,Low,Moderate,-0.101
100078,STEM,Freshman,3.631,0.9,Debugging/Troubleshooting,Advanced,4.0,True,11.39,1.0,Allowed_With_Citation,2.0,3.969,85.55,Low,Light,0.338
100079,Humanities,Graduate,2.659,8.84,Copywriting/Drafting,Intermediate,2.0,False,16.3,1.0,Allowed_With_Citation,8.0,3.21,77.88,High,Moderate,0.551
100080,STEM,Graduate,2.862,5.01,Summarizing_Reading,Beginner,3.0,True,14.7,2.0,Allowed_With_Citation,1.0,3.293,76.51,Medium,Moderate,0.431
100081,Arts,Senior,3.274,2.79,Copywriting/Drafting,Beginner,2.0,True,1.96,2.0,Allowed_With_Citation,1.0,3.195,69.29,Low,Light,-0.079
100082,Business,Junior,3.332,8.53,Direct_Answer_Generation,Beginner,2.0,False,12.93,4.0,Strict_Ban,2.0,3.421,64.26,Low,Moderate,0.089
100083,Humanities,Graduate,3.221,13.97,Summarizing_Reading,Beginner,1.0,False,4.38,4.0,Actively_Encouraged,4.0,3.418,75.13,Medium,Moderate,0.197
100084,STEM,Freshman,3.414,3.7,Debugging/Troubleshooting,Intermediate,4.0,False,17.94,2.0,Allowed_With_Citation,2.0,3.691,73.6,Medium,Light,0.277
100085,Humanities,Graduate,2.132,8.18,Direct_Answer_Generation,Advanced,4.0,False,12.32,4.0,Actively_Encouraged,3.0,2.354,65.13,Low,Moderate,0.222
100086,Humanities,Sophomore,3.106,8.23,Debugging/Troubleshooting,Intermediate,3.0,False,18.91,3.0,Strict_Ban,3.0,3.334,81.48,Medium,Moderate,0.228
100087,Business,Graduate,3.033,9.65,Ideation,Intermediate,5.0,True,2.81,2.0,Strict_Ban,5.0,3.216,93.82,High,Moderate,0.183
100088,Business,Senior,2.549,13.19,Ideation,Beginner,2.0,True,11.21,6.0,Allowed_With_Citation,5.0,2.855,59.64,Medium,Moderate,0.306
100090,Humanities,Graduate,3.544,34.0,Debugging/Troubleshooting,Beginner,2.0,False,8.67,6.0,Actively_Encouraged,1.0,3.795,68.8,High,Heavy,0.251
100091,STEM,Graduate,2.291,7.91,Debugging/Troubleshooting,Intermediate,5.0,False,14.46,3.0,Actively_Encouraged,6.0,2.75,55.09,Medium,Moderate,0.459
100092,Business,Junior,2.592,5.87,Copywriting/Drafting,Intermediate,5.0,True,8.39,3.0,Strict_Ban,2.0,3.139,65.99,High,Moderate,0.547
100093,Arts,Senior,2.561,0.16,Debugging/Troubleshooting,Intermediate,5.0,False,14.86,3.0,Allowed_With_Citation,1.0,2.887,68.77,Low,Light,0.326
100094,Business,Senior,2.778,12.92,Direct_Answer_Generation,Intermediate,2.0,True,9.91,7.0,Actively_Encouraged,8.0,3.17,74.32,Medium,Moderate,0.392
100095,Arts,Freshman,3.099,21.32,Summarizing_Reading,Beginner,2.0,True,12.78,3.0,Allowed_With_Citation,4.0,3.378,76.16,Medium,Heavy,0.279
100096,Humanities,Senior,3.773,5.21,Copywriting/Drafting,Beginner,1.0,False,11.81,1.0,Allowed_With_Citation,3.0,3.873,59.56,High,Moderate,0.1
100097,Business,Freshman,2.907,3.32,Direct_Answer_Generation,Intermediate,2.0,False,8.4,2.0,Actively_Encouraged,5.0,2.993,71.8,Medium,Light,0.086
100098,Humanities,Graduate,2.292,3.02,Copywriting/Drafting,Beginner,2.0,False,9.14,2.0,Allowed_With_Citation,3.0,2.918,66.73,Medium,Light,0.626
100099,STEM,Freshman,2.016,28.71,Debugging/Troubleshooting,Advanced,5.0,True,5.64,6.0,Allowed_With_Citation,4.0,2.473,55.74,Medium,Heavy,0.457
100100,STEM,Graduate,2.661,11.3,Direct_Answer_Generation,Advanced,3.0,False,11.04,6.0,Allowed_With_Citation,2.0,2.754,98.76,High,Moderate,0.093
100101,STEM,Sophomore,3.612,25.83,Debugging/Troubleshooting,Intermediate,3.0,True,10.46,7.0,Allowed_With_Citation,6.0,3.715,62.3,High,Heavy,0.103
100102,Business,Freshman,2.038,8.9,Debugging/Troubleshooting,Intermediate,3.0,True,13.27,6.0,Strict_Ban,4.0,1.942,55.12,Medium,Moderate,-0.096
100103,Humanities,Graduate,3.786,3.32,Copywriting/Drafting,Beginner,2.0,True,10.21,5.0,Allowed_With_Citation,2.0,4.0,56.37,Medium,Light,0.214
100104,Business,Freshman,3.204,4.77,Debugging/Troubleshooting,Intermediate,2.0,False,13.78,2.0,Allowed_With_Citation,4.0,3.348,85.52,Low,Light,0.144
100105,Medical,Junior,2.076,5.72,Copywriting/Drafting,Intermediate,2.0,True,13.43,2.0,Actively_Encouraged,2.0,2.307,63.93,Medium,Moderate,0.231
100106,STEM,Senior,2.972,9.6,Debugging/Troubleshooting,Intermediate,3.0,True,8.86,3.0,Allowed_With_Citation,1.0,3.234,87.33,Medium,Moderate,0.262
100107,Humanities,Sophomore,2.728,6.37,Copywriting/Drafting,Advanced,3.0,True,9.82,2.0,Strict_Ban,1.0,2.869,84.71,Low,Moderate,0.141
100108,Arts,Junior,2.133,4.33,Direct_Answer_Generation,Beginner,1.0,False,11.66,2.0,Strict_Ban,4.0,2.468,72.83,Low,Light,0.335
100109,STEM,Senior,2.926,0.43,Copywriting/Drafting,Intermediate,4.0,False,19.85,3.0,Allowed_With_Citation,1.0,3.321,94.36,Low,Light,0.395
100110,STEM,Graduate,2.379,10.28,Ideation,Advanced,4.0,False,21.84,4.0,Allowed_With_Citation,2.0,3.09,96.15,Low,Moderate,0.711
100111,STEM,Freshman,3.866,7.54,Debugging/Troubleshooting,Beginner,1.0,False,5.89,2.0,Strict_Ban,4.0,4.0,53.65,Low,Moderate,0.134
100112,STEM,Freshman,3.203,12.06,Ideation,Beginner,3.0,True,10.76,6.0,Allowed_With_Citation,6.0,3.257,82.36,Medium,Moderate,0.054
100113,Medical,Junior,3.501,9.86,Ideation,Intermediate,2.0,False,10.92,5.0,Allowed_With_Citation,3.0,3.839,85.42,Low,Moderate,0.338
100114,Arts,Sophomore,3.151,2.86,Copywriting/Drafting,Beginner,1.0,True,8.7,4.0,Allowed_With_Citation,1.0,3.176,66.09,Low,Light,0.025
100115,Business,Sophomore,3.784,2.61,Ideation,Advanced,5.0,False,17.37,1.0,Allowed_With_Citation,3.0,4.0,83.06,Low,Light,0.216
100116,Medical,Sophomore,3.242,1.25,Ideation,Beginner,3.0,False,8.2,2.0,Allowed_With_Citation,3.0,3.705,78.83,Medium,Light,0.463
100117,Arts,Junior,2.845,5.45,Summarizing_Reading,Advanced,3.0,True,13.36,3.0,Actively_Encouraged,4.0,3.213,61.45,Low,Moderate,0.368
100118,STEM,Graduate,3.915,0.73,Debugging/Troubleshooting,Intermediate,2.0,False,14.34,1.0,Strict_Ban,6.0,4.0,62.09,Low,Light,0.085
100119,Medical,Freshman,2.67,27.9,Summarizing_Reading,Beginner,2.0,False,3.85,7.0,Allowed_With_Citation,5.0,2.602,62.97,Medium,Heavy,-0.068
100120,Business,Freshman,2.074,0.9,Ideation,Advanced,5.0,True,14.29,1.0,Allowed_With_Citation,3.0,2.217,69.58,Low,Light,0.143
100121,Arts,Senior,1.845,3.58,Ideation,Intermediate,4.0,False,13.55,3.0,Allowed_With_Citation,2.0,2.293,63.51,Medium,Light,0.448
100122,Medical,Freshman,3.667,0.51,Direct_Answer_Generation,Beginner,2.0,False,18.15,4.0,Actively_Encouraged,9.0,3.99,69.49,Low,Light,0.323
100123,Humanities,Senior,3.684,18.48,Copywriting/Drafting,Beginner,1.0,False,15.63,4.0,Allowed_With_Citation,4.0,4.0,88.85,Medium,Heavy,0.316
100124,STEM,Sophomore,3.856,3.16,Ideation,Advanced,3.0,True,6.88,5.0,Actively_Encouraged,6.0,4.0,93.35,Medium,Light,0.144
100125,STEM,Sophomore,3.446,40.0,Summarizing_Reading,Intermediate,4.0,False,7.47,10.0,Actively_Encouraged,2.0,3.441,76.67,High,Heavy,-0.005
100126,Humanities,Sophomore,3.086,18.06,Debugging/Troubleshooting,Beginner,2.0,False,7.85,7.0,Actively_Encouraged,8.0,3.137,86.56,Medium,Heavy,0.051
100127,Arts,Sophomore,2.461,5.4,Direct_Answer_Generation,Intermediate,2.0,False,11.48,4.0,Allowed_With_Citation,2.0,2.574,96.82,Low,Moderate,0.113
100128,Arts,Senior,3.887,23.63,Ideation,Beginner,2.0,True,17.8,7.0,Strict_Ban,9.0,4.0,76.58,Medium,Heavy,0.113
100129,STEM,Graduate,3.092,3.94,Debugging/Troubleshooting,Intermediate,4.0,False,13.31,3.0,Allowed_With_Citation,3.0,3.456,63.1,Medium,Light,0.364
100130,Business,Junior,3.537,8.18,Ideation,Intermediate,2.0,False,14.57,2.0,Actively_Encouraged,1.0,3.576,96.33,Low,Moderate,0.039
100131,Humanities,Junior,3.138,1.62,Copywriting/Drafting,Beginner,2.0,False,11.94,1.0,Allowed_With_Citation,6.0,3.146,48.73,Low,Light,0.008
100132,STEM,Freshman,3.505,20.76,Ideation,Advanced,3.0,True,7.95,5.0,Allowed_With_Citation,4.0,4.0,84.53,Low,Heavy,0.495
100133,STEM,Senior,3.724,9.69,Debugging/Troubleshooting,Beginner,3.0,False,13.35,5.0,Actively_Encouraged,5.0,3.897,73.28,Medium,Moderate,0.173
100134,Humanities,Junior,3.416,16.77,Direct_Answer_Generation,Advanced,3.0,False,11.01,6.0,Allowed_With_Citation,1.0,3.717,67.16,High,Heavy,0.301
100135,Medical,Freshman,2.398,6.97,Summarizing_Reading,Beginner,2.0,False,10.01,3.0,Allowed_With_Citation,7.0,2.57,67.06,Low,Moderate,0.172
100136,Humanities,Freshman,2.686,6.39,Debugging/Troubleshooting,Beginner,1.0,True,8.27,3.0,Actively_Encouraged,7.0,2.785,56.59,Medium,Moderate,0.099
100137,Business,Freshman,3.164,11.13,Debugging/Troubleshooting,Beginner,3.0,True,12.68,8.0,Allowed_With_Citation,3.0,3.49,77.45,Medium,Moderate,0.326
100138,Business,Freshman,2.767,0.44,Ideation,Advanced,4.0,True,19.67,4.0,Strict_Ban,2.0,3.137,82.77,Medium,Light,0.37
100139,Humanities,Senior,3.706,4.18,Direct_Answer_Generation,Intermediate,1.0,True,5.38,1.0,Allowed_With_Citation,3.0,3.881,59.74,Medium,Light,0.175
100140,Medical,Graduate,3.393,1.9,Ideation,Beginner,2.0,False,9.32,3.0,Allowed_With_Citation,2.0,3.384,64.37,Low,Light,-0.009
100141,Medical,Senior,2.443,20.69,Ideation,Beginner,2.0,False,1.95,4.0,Allowed_With_Citation,7.0,2.674,79.7,High,Heavy,0.231
100142,STEM,Junior,2.407,25.2,Debugging/Troubleshooting,Advanced,4.0,True,10.34,4.0,Allowed_With_Citation,4.0,2.794,69.1,High,Heavy,0.387
100143,Humanities,Sophomore,3.43,10.37,Copywriting/Drafting,Advanced,4.0,True,16.72,4.0,Actively_Encouraged,1.0,3.641,78.81,Medium,Moderate,0.211
100144,Humanities,Sophomore,3.668,16.61,Summarizing_Reading,Beginner,3.0,False,6.92,5.0,Allowed_With_Citation,7.0,3.645,76.77,High,Heavy,-0.023
100145,STEM,Junior,3.691,22.04,Summarizing_Reading,Intermediate,1.0,True,1.0,6.0,Allowed_With_Citation,9.0,3.877,72.99,Low,Heavy,0.186
100146,STEM,Sophomore,2.425,9.16,Ideation,Advanced,3.0,False,18.86,5.0,Actively_Encouraged,4.0,2.992,90.32,High,Moderate,0.567
100147,Business,Sophomore,3.087,25.66,Ideation,Intermediate,1.0,False,1.0,5.0,Allowed_With_Citation,4.0,3.103,79.98,High,Heavy,0.016
100148,Business,Junior,2.107,6.05,Ideation,Beginner,2.0,True,6.14,1.0,Actively_Encouraged,1.0,2.313,76.11,Low,Moderate,0.206
100149,STEM,Sophomore,3.221,40.0,Debugging/Troubleshooting,Beginner,3.0,True,4.54,6.0,Allowed_With_Citation,5.0,3.347,57.02,High,Heavy,0.126
100150,STEM,Freshman,3.641,35.18,Debugging/Troubleshooting,Advanced,4.0,True,7.77,8.0,Actively_Encouraged,6.0,3.84,51.53,High,Heavy,0.199
100151,Medical,Freshman,3.85,20.4,Copywriting/Drafting,Beginner,1.0,False,16.51,6.0,Actively_Encouraged,6.0,4.0,100.0,Medium,Heavy,0.15
100152,STEM,Sophomore,2.784,4.43,Copywriting/Drafting,Intermediate,5.0,True,17.4,4.0,Allowed_With_Citation,3.0,3.092,82.92,Low,Light,0.308
100153,STEM,Junior,2.871,4.13,Summarizing_Reading,Advanced,4.0,False,10.31,1.0,Allowed_With_Citation,4.0,2.848,85.82,Medium,Light,-0.023
100154,Humanities,Sophomore,3.518,4.01,Ideation,Intermediate,3.0,True,18.42,1.0,Allowed_With_Citation,3.0,3.728,88.31,Low,Light,0.21
100155,Medical,Freshman,3.661,1.52,Summarizing_Reading,Intermediate,3.0,False,8.0,3.0,Strict_Ban,2.0,3.851,48.59,Medium,Light,0.19
100156,STEM,Sophomore,3.441,1.35,Copywriting/Drafting,Advanced,3.0,False,20.18,3.0,Actively_Encouraged,4.0,3.745,72.69,Medium,Light,0.304
100157,Business,Freshman,2.323,9.72,Summarizing_Reading,Beginner,3.0,False,10.26,6.0,Allowed_With_Citation,7.0,2.537,73.34,High,Moderate,0.214
100158,Arts,Graduate,3.033,3.86,Copywriting/Drafting,Beginner,3.0,True,6.6,5.0,Actively_Encouraged,5.0,3.487,71.38,High,Light,0.454
100159,STEM,Sophomore,2.148,10.2,Direct_Answer_Generation,Beginner,2.0,True,6.81,4.0,Strict_Ban,4.0,2.536,81.38,High,Moderate,0.388
100160,Business,Freshman,3.491,2.92,Ideation,Intermediate,3.0,True,13.33,4.0,Actively_Encouraged,9.0,3.739,77.34,Medium,Light,0.248
100161,Humanities,Senior,3.564,2.76,Copywriting/Drafting,Beginner,3.0,False,21.05,1.0,Actively_Encouraged,5.0,4.0,66.33,Low,Light,0.436
100162,Business,Sophomore,3.518,9.49,Summarizing_Reading,Beginner,2.0,False,7.24,5.0,Strict_Ban,5.0,3.553,76.08,Low,Moderate,0.035
100163,Business,Junior,3.34,2.62,Debugging/Troubleshooting,Beginner,1.0,False,18.85,3.0,Allowed_With_Citation,2.0,3.728,81.7,High,Light,0.388
100164,Business,Freshman,3.565,1.41,Ideation,Intermediate,2.0,False,15.13,4.0,Allowed_With_Citation,5.0,3.905,80.89,Low,Light,0.34
100165,STEM,Graduate,2.309,27.25,Debugging/Troubleshooting,Beginner,3.0,True,12.13,6.0,Allowed_With_Citation,5.0,2.606,70.82,High,Heavy,0.297
